,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
sapphyrin PCI-2000.1,381226,438817,480444,427464,195549,340012,465430,686524,603439,623475,593640,674697,1796124,2028500,629886,333113,403876,410107
Pyroglutamic acid.1,1149853824,1001259136,1197070336,1441755776,1319174912,1268652160,990859648,1424112256,1344174592,1124469248,1397590784,1292557824,1486564864,1583484160,1575933568,1304194048,1313569024,1289354496
sapphyrin PCI-2000.2,147216,171540,176651,293620,344230,361979,413183,668359,379202,460645,470442,598828,115186,77497,225917,129925,173607,218732
PE(16:1(9Z)/16:1(9Z)),406105,381302,289486,474729,349053,379427,937180,1282627,662049,1340611,980010,1095354,868351,859638,738076,989260,1366638,1207036
PE(16:1(9Z)/16:1(9Z)).1,465566,381302,351079,450665,410841,424097,1063948,1491387,662049,1290134,1064824,1085794,784420,859638,702814,1024793,1361679,1220741
PC(o-16:1(9Z)/14:1(9Z)),2127838,3069006,2349334,2050318,1668525,2892565,5679458,1578179,3778128,2167785,1986853,2017854,2102768,1953789,1566236,1686979,1960608,1821447
PE(15:0/P-18:1(9Z)),733853,1141548,1019990,843439,806077,840510,916996,929413,805813,945515,765210,844780,893011,818004,882539,806640,900231,919153
"6'''-Hydroxylophirone B 4'''-O-glucoside;(2S,3R)-Naringenin-(3beta,3)-4,2',4'-trihydroxychalcone 4'''-O-glucoside",22857,16596,131599,102771,312253,341232,412350,872247,509793,322900,751401,600683,463681,2298126,641898,123448,121193,132247
tricin 4'-O-(threo-beta-guaiacylglyceryl) ether 7-O-beta-D-glucopyranoside,4928961,4164384,4462212,2683786,4662026,5150414,3624314,3798187,4086320,3404994,3292638,3783136,3154664,3495118,3312744,2708826,2795558,3114584
Pyroglutamic acid.2,672837,1278056,1515747,2513029,2117809,1698150,1403864,1761784,1457180,1494442,2283636,2275257,2950172,2391004,2754714,1879777,1974741,1529018
CNP0437345,1398326,1464107,2504319,4560187,4700738,3370262,2876748,4416360,2888129,2417764,3570138,2579063,2185948,3271252,1810890,725955,625002,1056906
"N-(1-benzylpiperidin-4-yl)-2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-4-(methylsulfanyl)butanamide",347814,782123,499724,724836,1029802,599373,910477,693038,521460,258669,228971,249361,208646,364388,637199,1189992,1238337,1303403
UNPD101756,141536,140484,158387,312482,338309,238309,2018235,946990,756571,858746,1867696,1177000,1118062,1072341,2353606,279326,256567,325005
PubChem_117937730,113962,89702,55934,134786,21647,107305,251789,297409,239076,257625,442282,572487,189099,168265,95644,176806,205836,264746
PubChem_166075413,82051,33208,57938,92408,23309,21202,134034,210803,103932,189817,359963,240741,127730,103844,110466,152724,224725,214398
PubChem_166075413.1,559307,459590,324409,451904,213282,238005,886957,1226808,533227,616816,778960,1053198,1020306,1307083,582512,392090,432177,566864
PubChem_141976585,96113,83931,51187,89290,48837,81942,325852,381937,227781,296265,425170,477994,179156,169532,103070,165877,237796,217187
PubChem_136453662,0,0,0,376258,251467,326269,1088979,829068,377423,846645,826898,715467,397845,344537,763382,159734,146376,151549
PS(15:1(9Z)/14:1(9Z)),252360,331816,433407,240485,212168,187215,250681,522036,276521,264414,246873,286776,1647564,1484515,662185,257176,367977,301507
N-Acryloylglycine,1050956,3846932,5474702,4609500,4097314,3175940,1986095,2764850,2106551,2010547,3078010,2786255,4022344,3214636,3606386,2803587,2944659,2414702
"methyl (octadeca-6,9,12-trien-1-yl)phosphonofluoridate",54897,84599,110715,81621,91316,43653,24378,0,58734,0,61103,18841,127961,33114,67466,28024,36745,0
Desacetylmicrocolin B,351333,318625,251480,347498,222606,440494,286843,633667,728851,393282,732266,737957,234345,397355,280988,256923,144842,211295
Desacetylmicrocolin B.1,357516,426243,527564,528202,104946,335901,387396,475764,624866,776241,843570,741639,2136720,1825693,504578,386188,201866,339865
PC(14:1(9Z)/15:0),217699,197411,160269,174829,144701,143564,482792,532317,207032,658517,770345,833635,731695,419497,507416,489819,925711,1113898
PC(15:0/14:1(9Z)),321985,249723,308816,326617,261839,195883,718373,934187,359882,882189,1102031,982754,829279,827704,741102,759610,1170990,1437216
PC(15:0/14:1(9Z)).1,450484,429257,457680,504287,403902,310617,826151,981853,407676,855023,967472,882328,838611,539932,564746,898533,1102780,1214768
PE(18:1(11Z)/14:0),196595,174778,204490,234973,140738,149698,556968,618262,326254,775711,886764,871437,715136,546863,636204,645364,1057449,1118634
PC(14:1(9Z)/15:0).1,196595,182538,186903,187549,182829,102383,502836,618262,298678,733888,887791,769454,715136,545624,597815,576231,1057449,1139206
PE(18:1(11Z)/14:0).1,172876,154302,160269,231700,144701,143564,482792,532317,263922,658517,882534,833635,731695,492183,507416,484526,925711,1113898
PE(18:1(11Z)/14:0).2,919366,796492,789670,983863,799337,667875,1738082,1832218,842986,1716048,1872592,1935451,1817957,1329508,1418172,1715455,2097914,2091444
Pyroglutamic acid.3,1601063,5735741,8652112,6581480,6486569,4592906,2874994,4238951,3329008,2792796,4074695,3858305,6072430,5004581,5076528,4301466,3883087,3971647
PC(15:0/14:1(9Z)).2,130626,65212,171224,245444,168815,143176,491202,708465,263385,835936,969599,767602,866688,499951,482924,650542,1020131,1202578
PE(18:1(11Z)/14:0).3,208917,209942,229994,247208,176032,127684,568314,682564,263385,665043,963893,925866,770351,581130,585593,588812,1085861,1069682
PE(18:1(11Z)/14:0).4,505623,420940,552408,619902,526245,359500,1460236,1327748,524638,1779829,1830393,1614648,1737404,1194598,1391454,1601899,2143552,2182023
PC(14:1(9Z)/15:0).2,179454,163096,214448,212346,184791,142195,560269,580636,250177,792056,910067,871561,773582,476585,557090,533746,1026134,1102059
PE(18:1(11Z)/14:0).5,1088777,861945,894020,1166358,914054,781506,2188378,2260178,950081,2423052,2761614,2387263,2336215,1887610,1780048,2430144,2886748,3199044
PC(14:1(9Z)/15:0).3,246278,267376,266398,291446,234785,204518,750612,829163,385759,1009360,1157736,1179735,954397,673457,771902,743405,1361718,1405689
PC(15:0/14:1(9Z)).3,832200,668457,691499,742264,655657,561687,1247925,1332941,609558,1336876,1300895,1300157,1215284,928309,969451,1402605,1537220,1646714
PC(14:1(9Z)/15:0).4,352962,325501,439401,449977,301841,454082,1118773,1192278,509586,1387301,1365676,1401877,1151961,952994,893196,1213204,1804803,1647253
PE(18:1(11Z)/14:0).6,942260,763134,731400,989750,781685,731076,1788007,1951167,878039,2163213,2378109,2490633,2261178,1887610,1858275,2179816,2893481,2808966
PC(15:0/14:1(9Z)).4,257067,281281,286645,301773,244270,206313,651806,757317,355866,982757,1103893,1005991,994055,559827,654520,800191,1318729,1374372
PubChem_87684647,34227,31893,33348,287635,133644,165064,786910,1243078,260006,164725,278109,336631,255237,552572,393752,74544,40805,16062
"N-{3,4,5-trimethoxy-13-oxo-14-[(2-oxo-2-{4-[(2,3,4-trimethoxyphenyl)methyl]piperazin-1-yl}ethyl)amino]tricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-10-yl}acetamide",734585,726331,1508580,2805876,3005996,1809303,1712146,2858402,1858285,1423704,2225456,1643960,1261932,2024583,968704,316329,352237,557255
"Hederagenin base -2H + 1O, O-AcetylHex",2922242,4259531,4314874,1865093,1868082,1486224,2037431,2423613,2099855,1508140,1150598,1248530,1486898,1717217,1418921,3409082,3615701,3651700
Pyroglutamic acid.4,658481,1461170,1500313,2912285,2494238,1782629,1617693,2042688,1627392,1636641,2706446,2585310,3273927,2748652,3152414,2116036,2151931,1792141
"2-[2-({2-[2-(N,2-dimethyloct-7-ynamido)-N,3-dimethylbutanamido]-1-hydroxy-3-methylbutylidene}amino)-N,3-dimethylpentanamido]-N-[1-(C-hydroxycarbonimidoyl)ethyl]-3-methylpentanimidic acid",345125,339211,242553,261273,161671,247875,656613,746096,453988,514322,765193,986035,691586,709222,356260,363161,619798,577170
"2-[2-({2-[2-(N,2-dimethyloct-7-ynamido)-N,3-dimethylbutanamido]-1-hydroxy-3-methylbutylidene}amino)-N,3-dimethylpentanamido]-N-[1-(C-hydroxycarbonimidoyl)ethyl]-3-methylpentanimidic acid.1",91715,118160,100937,126854,107047,99447,322494,464194,207960,396555,555414,637279,407663,318265,300706,237860,474738,440000
"2-[2-({2-[2-(N,2-dimethyloct-7-ynamido)-N,3-dimethylbutanamido]-1-hydroxy-3-methylbutylidene}amino)-N,3-dimethylpentanamido]-N-[1-(C-hydroxycarbonimidoyl)ethyl]-3-methylpentanimidic acid.2",67786,108791,101306,87026,45719,29365,258217,315430,135354,301420,504481,423090,342663,259197,277025,270606,532046,541125
"2-[2-({2-[2-(N,2-dimethyloct-7-ynamido)-N,3-dimethylbutanamido]-1-hydroxy-3-methylbutylidene}amino)-N,3-dimethylpentanamido]-N-[1-(C-hydroxycarbonimidoyl)ethyl]-3-methylpentanimidic acid.3",100355,66190,49282,65060,43361,71884,237010,314121,141292,359486,478666,338105,347248,208476,263936,281779,437954,415493
2-[[Bis(phenylmethyl)amino]carbonyl]benzoic acid,7286663,7784478,7038682,5971116,5845130,5025592,8516564,7216204,7033907,6441000,6634194,7598242,3163691,3903792,5377943,2428242,2832902,3089120
"N-{4-hydroxy-4-methyl-2-phenyl-1-[(1,3-thiazol-2-yl)methyl]piperidin-3-yl}acetamide",153775,216874,230238,174223,146310,146445,199695,153700,148218,177101,134135,100105,51930,65594,89871,71049,45760,73412
Pyroglutamic acid.5,871201,2193542,3091430,3600884,3001980,2216072,1720071,2172764,1821649,1688946,2568252,2413851,3287592,2618204,2900187,2141699,2301446,2003985
PS(15:1(9Z)/14:0),540384,472336,529504,606021,393705,693916,1541719,3262958,2295362,1603104,2323608,2865641,3681144,2843233,1763356,1111314,811621,872722
13-Demethylspirolide C,214856,172914,190463,265533,167026,271305,469264,921086,662313,489207,649727,698592,857242,719654,408754,319438,156658,220469
CNP0438648,973653,933335,903169,1009078,889088,936890,1037110,947153,939332,910355,822303,893034,938477,934412,975005,940322,918393,879230
PubChem_118722617,138831,146913,74879,322489,222748,191286,884403,1254914,398178,371165,571305,695081,433782,602692,390001,166217,173932,142258
PubChem_118722617.1,108232,0,24642,86114,21585,80291,308175,629612,550849,346492,721231,605424,199094,202506,97039,86268,80713,32271
PubChem_118722617.2,370294,270306,183623,635429,436497,453094,1523711,2037825,707700,593321,774382,977872,771120,1036588,867020,407253,437924,423783
Bisphenol A bis(diphenyl phosphate),5899883,6383938,5863324,6372504,6025134,5972828,6077872,5907868,6216110,5749688,6127696,5726832,5616782,5187747,5312782,5977106,6285820,5382078
Scillaren A,1315437,1342759,1596740,1977375,2329980,1076447,997066,1937151,1319140,828544,1617775,1262343,1016464,1647822,596194,273908,344655,460413
Pyroglutamic acid.6,1139094,3998378,5954624,4901956,4659618,3388313,2192756,3131612,2286211,2291380,3226252,3203176,4069305,3682496,3735102,3056926,3025388,2749151
UNPD64390,1315437,1258917,2747613,5858874,5762520,3385160,3056158,5292243,3552599,2886595,4502179,3097668,3016660,4226163,2107626,585471,601847,986528
UNPD13190,587879,592044,442053,930859,1278351,1265224,1810698,2670085,1437180,1563259,1738199,2222164,322019,239319,814654,515106,367953,373139
"9,12,15-Octadecatrienoic acid 1-[(phosphonoxy)methyl]-1,2-ethanediyl ester",197848,289390,211377,153722,76032,337360,700245,1214256,656502,1166330,1128055,989745,658384,436891,432107,885066,1150385,1168297
"9,12,15-Octadecatrienoic acid 1-[(phosphonoxy)methyl]-1,2-ethanediyl ester.1",197848,289390,224799,141594,37677,313044,766050,969190,656502,1166330,1128055,1025238,683564,436891,454744,741748,1139538,1168297
"20-[1-(2-aminopiperidin-1-ium-4-yl)cyclopentyl]-4-cyclohexyl-7-hydroxy-18-(1-hydroxypentan-2-yl)-8-methoxy-14-oxido-13,15-dioxotricyclo[14.5.0.0?,??]henicos-2-yn-7-yl",451370,820072,1016983,278495,497394,317181,129650,75416,116883,0,51621,0,68202,73886,35256,330664,301866,285157
PS(15:0/14:0),755646,2330861,2629050,1772490,1353949,1087431,369205,1207138,991047,582283,515713,561530,1265903,762951,580313,1937998,1637539,1882708
PubChem_164494347.1,159860,31883,73295,553250,218914,410931,1712323,2128678,1070363,640142,1122827,1854342,1075234,739961,824223,254924,285603,209022
PubChem_164494347.2,224756,74187,96541,673754,310377,651503,3009217,3698378,1405966,1150061,1884860,2785341,1924302,1478662,1367655,358540,526460,326056
N-Acryloylglycine.1,745821,1441978,1950367,2957795,2327224,1885192,1491805,1702989,1541787,1505704,2321643,2231846,2813463,2500782,2637723,1871656,2085165,1529756
PS(O-18:0/12:0),2999514,5546066,4684629,552759,1224552,3631462,3959104,4342756,1697700,2210717,2215310,4750572,1768037,1499780,2164211,4112854,4026259,2807105
UNPD22052,43903,110113,843755,1945693,2162204,2044829,629483,658397,1701334,1552438,1538911,536428,993608,998887,479088,796006,952672,1742444
Nakinadine F,4559606,6089544,6682896,5195174,6245535,5520778,5791874,6862158,5640210,6708814,7583052,5300284,5126481,4284306,5829950,4472566,4798544,4669851
Nakinadine F.1,296908,631234,595470,379840,534659,371829,643030,480229,418386,116681,153142,212960,108214,111075,134548,596589,754483,639419
PubChem_76686461,161084,130337,16466,155277,58614,184161,790107,856151,287783,165282,259140,642505,155228,281420,205719,214953,240122,129116
PubChem_89720768,92712,43279,12259,41276,18912,156391,534810,629000,239929,277485,326620,696954,130937,323487,125634,105447,134389,26407
PubChem_76686461.1,455615,327008,257051,469591,333316,314588,1151957,1523471,772818,685552,998657,997547,759903,1037842,552991,263971,331578,325604
PubChem_89720768.1,85122,130337,111839,389873,201908,301066,790107,856151,732400,356473,438004,642505,322374,652297,205719,214953,240122,239485
Pyroglutamic acid.7,1601063,6210855,8577242,6581480,6486569,4592906,3279278,4238951,3466526,3297013,4414334,3944079,6072430,5152322,5362403,4301466,4151333,3971647
PubChem_122576629,3807063,2985893,3956030,1526045,2437810,1721476,2451792,2204154,2578212,1801800,1680762,2058453,1098028,729125,1252656,1307793,1488267,1420101
PubChem_156046391,0,0,74886,1439423,668631,508277,2012387,3484961,1057895,4329320,4103604,2565222,802022,1852417,2604659,313962,381368,324102
UNPD44331,71790,115409,179013,218942,203388,157684,478410,509364,329848,302225,423221,441171,254585,359020,341227,260083,318622,292884
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",237435,220017,225801,227034,292166,161733,593258,571792,343672,817281,955482,831476,772971,502395,622782,605590,955987,1184256
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).1",184766,44841,181735,168146,113506,145903,509209,507001,251457,705913,985103,840862,696945,532951,531392,581667,866278,940588
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).2",323545,429047,471874,463070,403806,306081,1442380,1547050,662871,1904137,1992048,1713363,1617761,1239452,1295372,1349633,2261299,2141645
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).3",507036,469070,510764,581638,407990,264116,1599764,1547050,968892,1950802,2140792,2317466,1926960,1251227,1295372,1897172,2495560,2858492
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).4",245496,220842,251678,299651,207261,158457,785507,888434,359273,950912,1252544,1083611,933603,672131,781187,941806,1201698,1272922
Pyroglutamic acid.8,595366,933069,1111374,1711447,1683466,1354144,1392213,1787790,1293221,1546265,2047735,1905127,2918484,2556532,2844180,1550681,1805635,1523126
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).5",184766,203661,221291,109823,153926,71387,489544,610810,249384,626799,985103,840862,724653,534796,555862,581667,866278,1006536
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).6",178560,217917,255952,251026,155783,186388,590126,621813,308162,757951,986589,879509,846510,554047,665803,674000,1001091,1068660
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).7",200067,202015,175332,213048,149048,149746,523684,616942,282828,705618,942016,835748,639098,587030,573765,631208,984637,990760
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).8",240874,210737,205622,253451,251579,233874,1017701,1023309,384995,1391140,1389919,1281038,1190262,747804,850875,948901,1472397,1348435
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).9",184235,88943,119569,175189,202827,124287,376339,585132,284771,542643,811188,792252,514958,310938,461006,554372,745453,803295
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).10",671921,583866,606186,776963,659750,551053,1681537,1774893,1026657,1851495,1788088,1889339,1727889,1269428,1426891,1682426,2163068,2355498
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).11",217908,215979,210418,163432,186485,103048,566710,633534,279180,699860,894100,818484,704286,460817,630193,596257,1011374,1065570
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).12",273913,275898,262594,273011,213761,186820,717941,842349,382013,959497,1298523,1074140,974284,642825,754301,874807,1404237,1308498
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).13",225368,231500,228118,253732,180755,174661,594729,657340,296410,835392,978242,949616,766275,556548,673507,732690,941064,973308
N-Acryloylglycine.2,624466,1271706,1389786,2756433,2186379,1755050,1410430,1778867,1429275,1521461,2364571,2117839,3024062,2527522,2830596,1985801,2152262,1680553
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).14",253474,249512,244086,283894,242689,212997,711107,917512,388843,956584,1327275,1223311,988965,558994,805987,898522,1246553,1337200
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).15",208548,217917,255952,251026,193292,158952,522645,719062,286893,813416,882775,877366,699813,457803,613870,619337,1000004,1068660
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).16",578598,488927,556616,611435,550986,441032,1335202,1466402,758717,1623570,1883204,1677892,1570618,1357364,1316205,1903390,1979638,2197008
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).17",623273,670807,683192,685393,533940,446508,1991678,2071869,968892,2456962,2631519,2451229,1916568,1203694,1627634,1897172,2978928,2858492
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).18",198576,231500,228118,253732,165026,174661,594729,743683,266608,835392,977783,932462,766275,556548,673507,732690,1007193,973308
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).19",241618,234942,245779,227496,191488,195617,651750,771412,396988,758833,1149097,1081788,839472,531700,705616,710781,1128170,1196464
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).20",266337,229616,233865,286622,249955,194821,727078,813599,399341,1089584,1282499,1159135,929922,744260,776250,837496,1249288,1210604
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).21",819797,644224,732756,828912,753850,640476,1544715,1607246,896091,1679254,1788088,1781634,1628640,1252375,1455347,1801521,1975553,2355498
Pyroglutamic acid.9,578224,1162867,1359373,2500765,1946078,1758317,1493935,1884583,1513088,1591192,2232096,2230519,3024062,2591511,2907846,1908530,2005086,1608428
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).22",279099,266479,239323,298877,208323,184381,781638,942813,425671,1094052,1328808,1196061,982486,625277,811821,855340,1274303,1153118
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).23",598143,469307,586134,561198,462113,444083,1067060,1194263,754997,1190114,1204449,1182549,1043164,820824,918214,1336570,1148400,1140702
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).24",531472,1073208,1233692,990581,797765,654928,967440,1281186,773834,1162073,1155772,1380116,1256374,837531,1048323,1540580,2019968,2072804
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)).25",178724,205638,196190,139881,189068,160984,476128,607982,351650,683789,997025,1023744,698200,505578,543812,580194,927894,979823
Pyroglutamic acid.10,16915220,36008368,39705616,39557740,33904452,22471464,12114523,43953296,20195278,17814460,46857360,24576604,75570392,106938704,71637672,35493088,37270764,44161264
1-O-(alpha-D-galactopyranosyl)-N-(9-phenylnonanoyl)phytosphingosine,248272,194534,105483,379035,175811,402794,1642397,2178708,1132246,1303698,2601146,2401255,834641,643160,616424,180553,265040,163796
1-O-(alpha-D-galactopyranosyl)-N-(9-phenylnonanoyl)phytosphingosine.1,538978,278855,278978,1019646,481011,812326,5059754,5878846,3226171,3160344,4402736,5531772,1934136,1563428,1670630,529306,610946,547197
PubChem_10580544,37157424,54615712,95881736,137448928,138869280,130961744,158264608,150347648,142969520,154837568,143893264,137934432,129149856,120840560,134264784,113138400,124671528,126884456
PubChem_10580544.1,707382,908838,957763,306223,795880,654756,1171314,933804,693886,854987,743758,613196,578189,549622,772790,721303,866252,833049
PubChem_10580544.2,21690464,18580430,60805184,48619100,59257800,55482804,73594232,69346848,61540400,75257328,72040216,61781324,57499980,49481416,56331996,62253336,61797312,67526792
PubChem_10580544.3,512765,987628,973244,920435,737629,843933,993836,773921,711790,840351,924762,791941,686579,585433,986427,700505,790336,800081
N-Acryloylglycine.3,654796,1303835,1540984,2632772,2280382,2006441,1553240,2049364,1529115,1430786,2263938,2039718,2845350,2067486,2699206,1837178,2002595,1535020
PubChem_163304549,28216,0,42256,155732,68897,123743,437233,1071344,689354,374843,768073,412551,585656,676898,124471,93086,107054,84264
PubChem_158972552,36861,41109,40734,0,25270,30473,287567,556035,72379,240586,499123,647229,314840,246226,103848,25448,65783,34675
PubChem_158972552.1,307587,159188,108941,245509,178264,290303,759034,845080,796452,517965,742330,910350,325584,483736,160986,168083,196467,188900
PubChem_53973977,1794840,2012904,1468401,2122902,1465001,1635715,1679952,1260591,1725966,1733004,1238098,1400997,1142342,828408,1005671,1524258,1514344,1479258
UNPD94430,51661,60337,57775,257611,113774,231018,1326476,1414380,285621,436292,574672,699325,727349,646664,1242327,117784,115051,139896
Pyroglutamic acid.11,672837,1190473,1515747,2513029,2250948,1698150,1337718,1786660,1457180,1408346,2237144,2088510,2953129,2541505,2609007,1705439,1958466,1429985
"13,20,21,22,32-pentahydroxy-30-{[(3-methoxypropyl)amino]methyl}-28-oxo-17-(propan-2-yl)-29-oxaoctacyclo[22.5.2.1??,??.0?,??.0?,??.0?,??.0?,??.0??,??]dotriaconta-26,30-diene-10-carbaldehyde",331435,479446,402199,58582,247453,96530,120943,113414,133624,0,0,0,0,0,0,156732,211589,211236
CNP0448863,190538,589432,471591,606996,359096,372365,1256559,1665932,693554,1109175,982900,979092,3058053,1985892,2033975,572824,368483,431156
CNP0434039,192533,96352,74061,253482,80505,177412,919187,1353418,831158,917369,1460497,1517345,403036,334345,281145,118648,104586,102498
"N-[(4E,8Z)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide 1-glucoside",358693,314900,275580,572690,170145,325096,734673,995675,592663,385971,661247,745368,366756,570808,298973,204610,182206,150582
"N-[(4E,8Z)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide 1-glucoside.1",422698,253755,654229,1093380,1507025,1095263,2677862,2614477,1761693,2609530,2159845,1166635,2230713,2829312,1867034,1987466,1972996,2154240
"N-[(4E,8Z)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide 1-glucoside.2",6245478,6857236,7333634,1244348,2445214,5533956,8836248,7053524,6604191,8398336,7144868,6941704,5345507,5879742,6109042,5788200,6183806,6140451
N-Acryloylglycine.4,1075194,4058602,5819964,5050016,4107737,3031889,2119107,2815191,2148884,2161979,3025376,2891980,4122161,3407905,3762731,2958150,2895227,2657348
Pterulamide I,157062,199668,259049,690723,317449,412799,2672611,2802510,1225837,1492468,1413784,1997178,3272695,2290856,2671577,471910,356546,341018
"methyl N-[(2S)-1-[2-[[4-(diethylamino)phenyl]methyl]-2-[(2S,3S)-2-hydroxy-3-[[(2S)-2-(methoxycarbonylamino)-3,3-dimethylbutanoyl]amino]-4-phenylbutyl]hydrazinyl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",405514,188288,203368,1005722,586608,1014581,4131836,4877893,2186515,2101408,2346883,3646215,3082458,2474882,2685973,583221,713762,783909
1-O-(alpha-D-galactopyranosyl)-N-[8-(4-fluorophenyl)octanoyl]phytosphingosine.1,87190,189246,117091,0,134188,85233,1079476,1070720,1109602,586699,474818,649081,387579,1298051,654932,865411,647133,264764
PubChem_67058117.3,12449822,11135738,11611331,11241323,11572697,11839034,11417756,11062506,12142560,13313608,13116969,13571396,14086033,16071884,15072528,13218440,12681055,13777494
N-Acryloylglycine.5,708383,1697363,2464678,3281671,2609840,2022456,1456849,1875430,1483550,1459967,2218034,2211345,2970786,2383345,2713272,2001988,2088570,1678148
1-O-(alpha-D-galactopyranosyl)-N-[8-(4-fluorophenyl)octanoyl]phytosphingosine.2,0,33962,9414,131245,504841,277456,1529087,1376567,1523326,1142008,1041718,887120,748750,1298051,873541,865411,1034240,777979
AS 1-2,385614,632323,673908,576887,238280,493858,751943,688718,608476,742839,752483,575633,561920,482333,606294,672807,707633,886078
Pyroglutamic acid.12,757523,2005623,2454680,3074136,2583966,1913214,1511118,1839386,1687810,1431195,2358622,2170566,2967393,2580520,2651880,1982626,2119615,1664180
(S)-Skyrin 2-glucoside,0,0,0,1133292,710005,1036740,5447754,3992550,1462694,4504508,4283267,4240728,2081746,2188328,5017002,612039,609537,727002
Pentacarboxyl porphyrinogen III,36168,106476,75396,254830,261209,238207,833298,944318,487403,526936,769497,640169,236863,263109,331253,167236,160416,175641
Sileneoside H,2030741,2565034,1275535,787252,706865,737008,966937,1162166,1090258,553030,1442772,783470,889528,932801,1342908,129360,142882,149952
"PG(18:4(6Z,9Z,12Z,15Z)/13:0)",12663,30128,6711,383078,488581,581591,254139,516220,1322198,112160,97575,112937,34102,16029,94304,77428,180926,190695
"PG(18:4(6Z,9Z,12Z,15Z)/13:0).1",76120,56748,35118,341122,315540,332439,343009,274012,771831,110198,76153,154292,0,62006,151038,114606,107615,94506
"9-{1-[4-cyclopentyl-5-(hydroxymethyl)-3-methyloxolan-2-yl]-1,2-dihydroxypropan-2-yl}-8,23-dimethyl-17-phenyl-13,19-dioxapentacyclo[18.3.1.0?,??.0?,??.0?,??]tetracos-3-en-15-yn-2-one",46095,67474,0,477446,682723,639938,556806,487310,1181208,141975,137138,219377,0,91207,151761,233487,312727,321839
Pyroglutamic acid.13,669397,1262338,1576443,2545622,2149936,1728235,1466559,1796045,1314872,1467764,2239943,1986182,2887841,2196968,2483398,1722985,2000635,1408489
Thermoactinoamide_B,666308,423880,558295,1341248,797222,1524579,7294913,9359675,4484324,5568400,6549706,7771775,3052104,2936836,3130168,858083,1018817,1012746
"6-[(8a-carboxy-6b-cyclohexyl-4,4,6a,11,11,14b-hexamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-icosahydropicen-3-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",252880,57125,0,264949,160321,124662,543074,851094,1116584,1964995,3159222,1439821,478487,246820,420018,86321,311655,273495
Antibiotic MK 2266;Dactylfungin A,254105,57125,129899,264949,160321,288990,1606356,2211235,1116584,1964995,3159222,2832356,857604,746919,799525,180786,311655,273495
UNPD116389,518309,486644,404596,305173,171493,388077,587514,917684,533317,591161,900097,1037536,422263,375310,337644,312177,420606,311299
