,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
5-Bromo-3-pyridinesulfonamide,2013881,1814224,1971358,2002543,1988500,2032475,2241472,2063997,1989945,2044488,1867537,1851820,2006680,2515508,2427913,2196012,1866216,1956549
Glycerol alpha-monochlorohydrin.26,3892599,3359476,3413783,3335953,3400327,4268878,3775087,3729468,3676212,3631199,3869993,3640797,3764785,5511148,4869576,3562433,3320210,4187686
5-Bromo-3-pyridinesulfonamide.1,1461494,1322884,1216072,1109093,1137698,1579335,1427829,1316743,1424707,1340384,1516052,1421979,1412566,1893127,1587226,1418033,1104483,1351374
5-Bromo-3-pyridinesulfonamide.2,1327408,1260775,1200686,1159962,1043361,1401115,1164850,1200431,1296439,1122552,1590418,1506308,1180674,1682410,1417377,1158516,1053781,1285301
5-Bromo-3-pyridinesulfonamide.3,1355282,1405688,1339593,1175268,1249361,1556263,1428244,1424516,1494316,1325870,1512013,1523983,1454826,1966806,1633349,1306982,1166536,1397959
"2-iodobenzene-1,4-diol",1628166,1367272,1346769,1593919,1671951,1432221,1434794,1366356,1471248,1612968,1553874,1339515,1623864,2002021,2011410,1465503,1174832,1340561
"2-iodobenzene-1,4-diol.1",941268,926514,893016,862139,778950,968582,1012218,918040,964164,906295,1076496,923254,968804,1428688,1140896,910824,741492,983186
"2-iodobenzene-1,4-diol.2",1399710,1167543,1241743,1388274,1374982,1266801,1330301,1366361,1262317,1379901,1419968,1375082,1294128,1584688,1596128,1227497,1364513,1245686
"2-iodobenzene-1,4-diol.3",1667495,1255700,1197335,1674402,1449236,1706231,1674480,1519094,1407832,1583018,1730110,1612423,1538123,1716329,1771051,1732086,1557363,1612476
"2-iodobenzene-1,4-diol.4",1317400,1159163,1193746,1180124,1252094,1444553,1318551,1291109,1388334,1271126,1496130,1465343,1269268,2052845,1542516,1201378,1132499,1216920
"2-iodobenzene-1,4-diol.5",1222164,1313009,1248822,1153597,1168863,1478245,1266534,1154086,1353320,1285661,1430778,1272584,1206566,1916207,1534788,1165344,1178781,1355199
Glycerol alpha-monochlorohydrin.27,4267946,3911655,3925645,3741264,3733610,4841678,4262819,4480452,4546160,4022767,4644020,4401952,4463498,7476362,5134566,4088295,4022868,4464504
"2-iodobenzene-1,4-diol.6",1875133,1577862,1600970,1764196,1856504,1793807,2133841,2071194,1985521,2025131,1994013,1943608,1943894,2190628,2065441,1759869,1726686,1647386
"2-iodobenzene-1,4-diol.7",1445098,1281460,1283830,1238504,1155289,1536557,1287858,1253048,1312388,1207722,1306264,1273885,1310654,1790333,1561568,1245394,1107106,1337344
"2-iodobenzene-1,4-diol.8",1628166,1543980,1414629,1593919,1861552,1622860,1662480,1660820,1586641,1612968,1553874,1451953,1623864,2093728,2011410,1465503,1410100,1500326
"2-iodobenzene-1,4-diol.9",1373787,1313009,1248822,1116394,1263590,1478245,1266534,1157108,1347238,1332265,1464799,1272584,1329719,1802632,1469304,1146942,1100471,1354632
"2-iodobenzene-1,4-diol.10",1667495,1442508,1502545,1674402,1560752,1706231,1674480,1886368,1809052,2143710,1730110,1883834,1714351,2061884,1771051,1594841,1552174,1764040
"2-iodobenzene-1,4-diol.11",1445098,1304598,1277742,1139438,1155289,1560617,1269467,1253048,1396378,1207722,1306264,1273885,1316948,1790333,1541290,1284407,1061158,1358375
"2-iodobenzene-1,4-diol.12",1875133,1577862,1622958,1935726,1879161,1852455,2243066,2071194,1960147,1849468,2097784,1943608,2083516,2221582,2185612,1925718,1954788,1733896
"2-iodobenzene-1,4-diol.13",1680089,1595209,1502545,1782484,1808609,1662541,2187045,2028556,1809052,2143710,1895372,1868917,1916258,2000394,2065441,1715269,1727678,1661528
"7,8-dichloropyrido[1,2-a]benzimidazole",2808224,1625637,1496934,1007768,1350379,1607241,1304996,1397006,1610101,2056742,1986557,1578403,2237615,2246934,1467424,2638720,2394039,2194051
"benzene-1,2-disulfonamide",3988741,4041561,3777625,4160070,3884620,4013076,3733698,3559932,4016764,3701709,3737424,3751766,2766276,2741576,3175490,3754733,3654021,3741286
Glycerol alpha-monochlorohydrin.28,5452214,4574730,5002532,4974413,4884844,4871596,5056522,4928780,4632483,4727856,4476659,5389980,4633560,5953104,4396098,5084672,4176940,5010932
"[1,3-dichloro-2-(chloromethyl)propan-2-yl]benzene",3988741,4041561,3777625,4160070,3884620,4013076,3733698,3559932,4016764,3701709,3737424,3751766,2463498,2237950,3175490,3085688,3370321,3741286
"benzene-1,2-disulfonamide.1",2921960,2602198,2110697,2255905,2320263,2557200,2002995,2081639,2416923,2078840,2427170,2100903,2014722,2141145,1795437,2542299,2778293,2431877
Ethyl vanillin isobutyrate,675044,529338,579900,687276,585837,701765,776907,756415,744001,695852,704140,703708,654475,598459,745836,733695,779333,728363
"(+)-Oxyglutinosone;Oxyglutinosone;[3R-(3alpha,4beta,4abeta,6alpha)]-4,4a,5,6,7,8-Hexahydro-3,4a-dihydroxy-4-methyl-6-(1-methylethenyl)-2(3H)-naphthalenone",419771,529541,542176,352395,382837,357052,332003,388565,349773,324404,398601,358609,297936,307804,315858,447270,436896,391277
Heptyl 4-hydroxybenzoate,15018,82866,94394,95387,55640,102068,96206,109980,51268,97838,97694,89517,172135,4869,63612,86254,46824,93798
